Level 1 Group,Level 2 Group,Level 3 Group,Level 4 Group,Level 5 Group,Item Name,Quantity,Material $/Unit,Labor $/unit,Labor Rate ($/hr),Labor Productivity (units/hr),Equipment $/unit,Other $/unit,Subcontract $/unit,Subcontract Rate ($/hr),Subcontract Productivity (units/hr),Measurement Unit (Abbreviation),Description,Private Notes,Product Level 1 Group,Product Level 2 Group,Product Level 3 Group,Product Level 4 Group,Product Level 5 Group,Product Name,Vendor SKU,Incremental Order Quantity,Unit Of Purchase (Abbreviation),Price Per Unit,Waste Factor,Description.1,Private Notes.1,Tags
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Door Accessories & Hardware,Doors - Privacy Knobs,0.0,36.47,----,0.0,0,----,----,----,----,----,Each (Ea),"Install Privacy knobs, strike plate.",----,(null),----,----,----,----,Schlage Georgian Satin Nickel Privacy Bed/Bath Door Knob with Lock,779758.0,1.0,each (each),26.47,0.0,----,https://www.homedepot.com/p/Schlage-Georgian-Satin-Nickel-Privacy-Bed-Bath-Door-Knob-with-Lock-F40-GEO-619/100076011,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Door Accessories & Hardware,DOORS - Smart Lock Change Out,0.0,89.47,----,----,----,----,----,----,----,----,Each (Ea),Re-key with smart key door knob and dead bolt. (Per Door),----,----,----,----,----,----,Kwikset Juno Satin Nickel Exterior Entry Door Knob and Single Cylinder Deadbolt Combo Pack Featuring SmartKey Security,909843.0,1.0,each (each),56.97,0.0,----,https://www.homedepot.com/p/Kwikset-Juno-Satin-Nickel-Exterior-Entry-Door-Knob-and-Single-Cylinder-Deadbolt-Combo-Pack-Featuring-SmartKey-Security-991J-15-SMT-CP/100597328,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Door Accessories & Hardware,DOORS - Replace passage knob (Brushed Nickel),0.0,30.47,----,5.5,0,----,----,----,----,----,Each (Ea),"Replace passage knob sets and strike plates on interior doors. To include bedrooms, closets and basement doors",Cost Codes for Doors,(null),----,----,----,----,Schlage Georgian Satin Nickel Passage Hall/Closet Door Knob,779786.0,1.0,each (each),24.97,0.0,----,https://www.homedepot.com/p/Schlage-Georgian-Satin-Nickel-Passage-Hall-Closet-Door-Knob-F10-GEO-619/100028727,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Exterior Door,0.0,246,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of new exterior door.,----,----,----,----,----,----,Steves & Sons Element Series 6-Panel White Primed Steel Front Door Slab,1001251552.0,1.0,each (each),196.0,0.0,----,https://www.homedepot.com/p/Steves-Sons-32-in-x-79-in-Element-Series-6-Panel-Primed-White-Steel-Front-Door-Slab-STL6PX3280/205741573,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,PAINT - Front Door,0.0,80,----,----,----,----,----,----,----,----,Each (Ea),"Scrape, prep and paint front door black",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Front Door (Standard),0.0,630.51,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of standard quality front door.,----,----,----,----,----,----,JELD-WEN 36 in. x 80 in. Camber Top Mission Prairie Primed Steel Prehung Left-Hand Inswing Front Door w/Brickmould,534066.0,1.0,each (each),628.0,0.0,----,https://www.homedepot.com/p/JELD-WEN-36-in-x-80-in-Camber-Top-Mission-Prairie-Primed-Steel-Prehung-Left-Hand-Inswing-Front-Door-w-Brickmould-THDJW166700576/202036118,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,DOORS - DEMO - Front Storm/Security door,0.0,40,----,0.0,0,----,----,----,----,----,Each (Ea),"Remove, patch any holes from removal, touch up paint.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Storm Door Pistion,0.0,44.97,----,0.0,0,----,----,----,----,----,Each (Ea),Replacement of faulty storm door piston.,----,----,----,----,----,----,Wright Products Medium Duty Hydraulic White Door Closer,1001606785.0,1.0,each (each),31.79,0.0,----,https://www.homedepot.com/p/Wright-Products-Medium-Duty-Hydraulic-White-Door-Closer-VH440WH/206520378,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Storm Door (Standard),0.0,219,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of standard quality storm door.,----,----,----,----,----,----,EMCO 36 in. x 80 in. 100 Series White Self-Storing Storm Door,818771.0,1.0,each (each),178.0,0.0,----,https://www.homedepot.com/p/EMCO-36-in-x-80-in-100-Series-White-Self-Storing-Storm-Door-E1SS-36WH/100081634,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Storm Door (Upgraded),0.0,419,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of an Upgraded quality of storm door.,----,----,----,----,----,----,Andersen 36 in. x 80 in. 3000 Series White Right-Hand Self-Storing Easy Install Aluminum Storm Door,975549.0,1.0,each (each),344.0,0.0,----,https://www.homedepot.com/p/Andersen-36-in-x-80-in-3000-Series-White-Right-Hand-Self-Storing-Easy-Install-Aluminum-Storm-Door-H3SER36WH/202985075,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Replace Sliding Glass Door,0.0,1679.04,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,MP Doors 72 in. x 80 in. Smooth White Left-Hand Composite Sliding Patio Door with 15-Lite GBG,1000337878.0,1.0,each (each),1428.0,0.0,----,https://www.homedepot.com/p/MP-Doors-72-in-x-80-in-Smooth-White-Left-Hand-Composite-Sliding-Patio-Door-with-15-Lite-GBG-G6068L002W3/203188687,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,DOORS - SLIDER - Clean Track,0.0,43.48,----,0.0,0,----,----,----,----,----,Each (Ea),Clean and grease sliding door track and adjust for proper functionality.,----,----,----,----,----,----,"WD-40 SPECIALIST 10 oz. White Lithium Grease, Long-Lasting Grease Spray",1004795364.0,1.0,each (each),8.48,0.0,----,https://www.homedepot.com/p/WD-40-SPECIALIST-10-oz-White-Lithium-Grease-Long-Lasting-Grease-Spray-30061/311360785,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,DOORS - SLIDER - Securtity/Charlie bar,0.0,46.78,----,----,----,----,----,----,----,----,Each (Ea),Install permanently mounted back sliding door security bar,----,----,----,----,----,----,"Prime-Line 28 in. to 48 in., Aluminum, White, Security Bar Lock",633365.0,1.0,each (each),19.5,0.0,----,https://www.homedepot.com/p/Prime-Line-28-in-to-48-in-Aluminum-White-Security-Bar-Lock-U-9921/100176808,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Back Screen Door Slider,0.0,109,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,36 in. x 80 in. Adjustable Fit White Premium Patio Sliding Screen Door,1005447860.0,1.0,piece (piece),105.0,0.0,----,https://www.homedepot.com/p/36-in-x-80-in-Adjustable-Fit-White-Premium-Patio-Sliding-Screen-Door-PSD36W/315879837,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,Closet Rod Brackets,0.0,19.98,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of closet Rod brackets.,----,----,----,----,----,----,Everbilt 2.68 in. Heavy-Duty Brushed Nickel Closet Rod Pole Sockets (2-Pack),490170.0,1.0,each (each),8.98,0.0,----,https://www.homedepot.com/p/Everbilt-2-68-in-Heavy-Duty-Brushed-Nickel-Closet-Rod-Pole-Sockets-2-Pack-EH-WSTHDUS-324/300262700,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,DOORS - CLOSET - Bifold Doors Install/Replace,0.0,332.7,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of bifold closet doors,----,----,----,----,----,----,JELD-WEN 48 in. x 80 in. 6 Panel Colonist Primed Textured Molded Composite MDF Closet Bi-Fold Double Door,311607.0,1.0,each (each),278.0,0.0,----,https://www.homedepot.com/p/JELD-WEN-48-in-x-80-in-6-Panel-Colonist-Primed-Textured-Molded-Composite-MDF-Closet-Bi-Fold-Double-Door-THDJW160600153/202037494,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,CLOSET - Closet Rod - Replace,0.0,59.98,----,25.0,0,----,----,----,----,----,Each (Ea),Replace/install closet rod with appropriate supports,Cost Codes for Interior Carpentry Work,----,----,----,----,----,Everbilt 8 ft. Oak Closet Pole,315788.0,1.0,each (each),31.23,0.0,----,https://www.homedepot.com/p/Everbilt-8-ft-Oak-Closet-Pole-65430/300722708,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,CLOSET - Wood Shelving - Replace,0.0,76.98,----,52.0,0,----,----,----,----,----,Each (Ea),Replace/install wood shelving as specified and paint as needed,Cost Codes for Interior Carpentry Work,----,----,----,----,----,ClosetMaid Selectives 48 in. White Laminate Wall Mounted Shelf,225452.0,1.0,each (each),21.98,0.0,----,https://www.homedepot.com/p/ClosetMaid-Selectives-48-in-White-Laminate-Wall-Mounted-Shelf-7034/100597844,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,DOORS - CLOSET - Closet Door Hardware - (ByPass),0.0,51.27,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Prime-Line Bypass Closet Door Track Kit,1000751567.0,1.0,each (each),25.66,0.0,----,https://www.homedepot.com/p/Prime-Line-Bypass-Closet-Door-Track-Kit-163590/203588785,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,DOORS - CLOSET - Closet Door Hardware - (Sliding),0.0,34.93,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Everbilt 48 in. Sliding Door Set,831387.0,1.0,each (each),12.27,0.0,----,https://www.homedepot.com/p/Everbilt-48-in-Sliding-Door-Set-18396/202041870,----
Interior Overall:,Entry Way,"Doors & Closets, Hardware, Accessories, etc...",Closet Items,----,DOORS - CLOSET - Closet Door Hardware - (BiFold),0.0,40.93,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Everbilt 36 in. Bi-Fold Door Hardware Set with Galvanized Track,824348.0,1.0,each (each),20.93,0.0,----,https://www.homedepot.com/p/Everbilt-36-in-Bi-Fold-Door-Hardware-Set-with-Galvanized-Track-18401/202034320,----
Interior Overall:,Living Room,Fireplace & Accessories,----,----,FIREPLACE - Paint,0.0,65,----,0.0,0,----,----,----,----,----,Each (Ea),Clean out fireplace.,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Ensure chimney flue is closed and paint interior of fireplace with fireplace black paint.,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Build small shelf and paint black.,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,Living Room,"Window, Window Coverings.",----,----,WINDOWS - Window Screens - Replace/Install,0.0,37.68,----,0.0,0,----,----,----,----,----,Each (Ea),Replace/install window screens.,----,(null),----,----,----,----,Screen Tight 5/16 in. x 48 in. White Window Screen Frame Kit,221177.0,1.0,each (each),12.68,0.0,----,https://www.homedepot.com/p/Screen-Tight-5-16-in-x-48-in-White-Window-Screen-Frame-Kit-WSKIT51648/100042901,----
Interior Overall:,Living Room,"Window, Window Coverings.",Window Blinds,----,"WINDOWS - BLINDS - Install 1"" mini-blinds",0.0,39.98,----,20.0,0,----,----,----,----,----,Each (Ea),"Replace/install 1"" blinds",Cost Codes For Windows,----,----,----,----,----,Pre-Cut 36 in. W x 64 in. L Cordless Light Filtering White Vinyl Mini Blind with 1 in. Slats,1006808449.0,1.0,each (each),19.98,0.0,----,https://www.homedepot.com/p/Pre-Cut-36-in-W-x-64-in-L-Cordless-Light-Filtering-White-Vinyl-Mini-Blind-with-1-in-Slats-MBLF3664W/318487324,----
Interior Overall:,Living Room,"Window, Window Coverings.",Window Blinds,----,"WINDOWS - BLINDS - Install 2"" Faux Wood Blinds",0.0,107.98,----,20.0,0,----,----,----,----,----,Each (Ea),"Replace/install 1"" blinds",Cost Codes For Windows,----,----,----,----,----,Home Decorators Collection 2-1/2 in. Cordless Premium Faux Wood Blinds,1002409482.0,1.0,each (each),72.48,0.0,----,https://www.homedepot.com/p/Home-Decorators-Collection-White-Cordless-Room-Darkening-2-5-in-Premium-Faux-Wood-Blind-for-Window-35-in-W-x-64-in-L-10793478361892/301179727,----
Interior Overall:,Living Room,"Window, Window Coverings.",Window Blinds,----,WINDOWS - BLINDS - Verticle Blinds,0.0,129.48,----,0.0,0,----,----,----,----,----,Each (Ea),Install Vertical Blinds,----,----,----,----,----,----,"Hampton Bay 3.5"" Vertical Fauxwood Blind",369487.0,1.0,each (each),81.48,0.0,----,https://www.homedepot.com/p/Hampton-Bay-White-Room-Darkening-3-5-in-Vertical-Blind-Kit-for-Sliding-Door-or-Window-78-in-W-x-84-in-L-10793478800933/100139006,----
Interior Overall:,Living Room,"Window, Window Coverings.",Window Blinds,----,WINDOWS - Remove blinds and dispose,0.0,2.25,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,Living Room,"Window, Window Coverings.",Window Repair & Replacement,Replace:,Window Replacment (Standard),0.0,400,----,0.0,0,----,----,----,----,----,Each (Ea),Installation Standard Sized Window.,----,----,----,----,----,----,"American Craftsman 37.75 in. x 56.75 in. 70 Series Low-E Argon Glass Double Hung White Vinyl Fin with J Window, Screen Incl",532227.0,1.0,each (each),299.0,0.0,----,https://www.homedepot.com/p/American-Craftsman-37-75-in-x-56-75-in-70-Series-Low-E-Argon-Glass-Double-Hung-White-Vinyl-Fin-with-J-Window-Screen-Incl-70-DH-FIN/203157331,----
Interior Overall:,Living Room,"Window, Window Coverings.",Window Repair & Replacement,Replace:,Window Replacment (Large),0.0,664.31,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of Large Window.,----,----,----,----,----,----,JELD-WEN 59.5 in. x 59.5 in. V-2500 Series White Vinyl Right-Handed Sliding Window with Fiberglass Mesh Screen,1001241553.0,1.0,each (each),572.0,0.0,----,https://www.homedepot.com/p/JELD-WEN-59-5-in-x-59-5-in-V-2500-Series-White-Vinyl-Right-Handed-Sliding-Window-with-Fiberglass-Mesh-Screen-THDJW138500124/205817906,----
Interior Overall:,Living Room,"Window, Window Coverings.",Window Repair & Replacement,Replace:,Window Replacment (Small),0.0,238,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of Small window.,----,----,----,----,----,----,American Craftsman 70 Series Slider Dual Vent Fin Vinyl Window,904097.0,1.0,each (each),138.0,0.0,----,https://www.homedepot.com/p/American-Craftsman-24-in-x-24-in-70-Series-Low-E-Argon-Glass-Sliding-White-Vinyl-Fin-with-J-Window-Screen-Incl-70-SLIDER-FIN/203157669,----
Interior Overall:,Living Room,"Window, Window Coverings.",Window Repair & Replacement,Repair:,Replacement glass cut to size.,0.0,72.98,----,0.0,0,----,----,----,----,----,Each (Ea),Broken glass cut to size and reglazed.,----,----,----,----,----,----,30 in. x 36 in. x .094 in. Clear Glass,599052.0,1.0,each (each),22.98,0.0,----,https://www.homedepot.com/p/30-in-x-36-in-x-094-in-Clear-Glass-93036/202091050,----
Interior Overall:,Living Room,"Window, Window Coverings.",Window Repair & Replacement,Repair:,Window Lock Repair/Repalce,0.0,16.63,----,0.0,0,----,----,----,----,----,Each (Ea),Replace broken/missing window sash lock.,----,----,----,----,----,----,Prime-Line Diecast Construction White Used on Vertical and Horizontal Sliding Windows Sash Lock,303972.0,1.0,each (each),6.63,0.0,----,https://www.homedepot.com/p/Prime-Line-Diecast-Construction-White-Used-on-Vertical-and-Horizontal-Sliding-Windows-Sash-Lock-F-2588/100582966,----
Interior Overall:,Living Room,"Window, Window Coverings.",Window Repair & Replacement,Repair:,Clips to keep window open,0.0,13.74,----,0.0,0,----,----,----,----,----,Each (Ea),Click locks to keep broken counter weighted window open for code compliance.,----,----,----,----,----,----,Prime-Line White Vinyl Vertical Hung Sliding Window Lock (2-pack),475001.0,1.0,each (each),3.74,0.0,----,https://www.homedepot.com/p/Prime-Line-White-Vinyl-Vertical-Hung-Sliding-Window-Lock-2-pack-F-2598/100204112,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Interior:,Fire Rated Door Closer Hinges.,0.0,33.49,----,0.0,0,----,----,----,----,----,Each (Ea),Hinge need to make interior garage entry door self closing.,----,----,----,----,----,----,Dynasty Hardware 4 in. x 4 in. Satin Nickel 5/8 in. Radius Adjustable Spring Door Hinge (2-Pack),1002357213.0,1.0,box (box),24.25,0.0,----,https://www.homedepot.com/p/Dynasty-Hardware-4-in-x-4-in-Satin-Nickel-5-8-in-Radius-Adjustable-Spring-Door-Hinge-2-Pack-SP-40-58-US15-2PK/301399076,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Interior:,Fire Rated Interior door,0.0,839,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of Fire Rated interior door.,----,----,----,----,----,----,MMI Door 32 in. x 80 in. Rockport Right-Hand Primed Composite 20 Min. Fire-Rated House-to-Garage Single Prehung Interior Door,1001812367.0,1.0,each (each),898.0,0.0,----,https://www.homedepot.com/p/MMI-Door-32-in-x-80-in-Rockport-Right-Hand-Primed-Composite-20-Min-Fire-Rated-House-to-Garage-Single-Prehung-Interior-Door-Z020495R/207080938,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Interior:,DOORS - Slab Door - Replace,0.0,149,----,42.0,0,----,----,----,----,----,Each (Ea),Replace door slab only,Cost Codes for Doors,(null),----,----,----,----,JELD-WEN 30 in. x 80 in. 6 Panel Colonist Primed Textured Molded Composite MDF Interior Door Slab,198225.0,1.0,each (each),107.0,0.0,----,https://www.homedepot.com/p/JELD-WEN-30-in-x-80-in-6-Panel-Colonist-Primed-Textured-Molded-Composite-MDF-Interior-Door-Slab-THDQC236300003/202036884,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Interior:,DOORS-Pre Hung Door,0.0,251,----,0.0,0,----,----,----,----,----,Each (Ea),Prep and install interior door and jamb.,----,----,----,----,----,----,JELD-WEN Molded Single Prehung Interior Door Collection,1005161015.0,1.0,each (each),186.0,0.0,----,https://www.homedepot.com/p/JELD-WEN-Molded-Single-Prehung-Interior-Door-Collection-553146-6/312541059,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Exterior Door,0.0,246,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of new exterior door.,----,----,----,----,----,----,Steves & Sons Element Series 6-Panel White Primed Steel Front Door Slab,1001251552.0,1.0,each (each),196.0,0.0,----,https://www.homedepot.com/p/Steves-Sons-32-in-x-79-in-Element-Series-6-Panel-Primed-White-Steel-Front-Door-Slab-STL6PX3280/205741573,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,PAINT - Front Door,0.0,80,----,0.0,0,----,----,----,----,----,Each (Ea),"Scrape, prep and paint front door black",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Front Door (Standard),0.0,630.51,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of standard quality front door.,----,----,----,----,----,----,JELD-WEN 36 in. x 80 in. Camber Top Mission Prairie Primed Steel Prehung Left-Hand Inswing Front Door w/Brickmould,534066.0,1.0,each (each),628.0,0.0,----,https://www.homedepot.com/p/JELD-WEN-36-in-x-80-in-Camber-Top-Mission-Prairie-Primed-Steel-Prehung-Left-Hand-Inswing-Front-Door-w-Brickmould-THDJW166700576/202036118,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Storm Door Pistion,0.0,44.97,----,0.0,0,----,----,----,----,----,Each (Ea),Replacement of faulty storm door piston.,----,----,----,----,----,----,Wright Products Medium Duty Hydraulic White Door Closer,1001606785.0,1.0,each (each),31.79,0.0,----,https://www.homedepot.com/p/Wright-Products-Medium-Duty-Hydraulic-White-Door-Closer-VH440WH/206520378,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,DOORS - DEMO - Front Storm/Security door,0.0,40,----,0.0,0,----,----,----,----,----,Each (Ea),"Remove, patch any holes from removal, touch up paint.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Storm Door (Standard),0.0,219,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of standard quality storm door.,----,----,----,----,----,----,EMCO 36 in. x 80 in. 100 Series White Self-Storing Storm Door,818771.0,1.0,each (each),178.0,0.0,----,https://www.homedepot.com/p/EMCO-36-in-x-80-in-100-Series-White-Self-Storing-Storm-Door-E1SS-36WH/100081634,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Storm Door (Upgraded),0.0,419,----,0.0,0,----,----,----,----,----,Each (Ea),Installation of an Upgraded quality of storm door.,----,----,----,----,----,----,Andersen 36 in. x 80 in. 3000 Series White Right-Hand Self-Storing Easy Install Aluminum Storm Door,975549.0,1.0,each (each),344.0,0.0,----,https://www.homedepot.com/p/Andersen-36-in-x-80-in-3000-Series-White-Right-Hand-Self-Storing-Easy-Install-Aluminum-Storm-Door-H3SER36WH/202985075,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Replace Sliding Glass Door,0.0,1679.04,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,MP Doors 72 in. x 80 in. Smooth White Left-Hand Composite Sliding Patio Door with 15-Lite GBG,1000337878.0,1.0,each (each),1428.0,0.0,----,https://www.homedepot.com/p/MP-Doors-72-in-x-80-in-Smooth-White-Left-Hand-Composite-Sliding-Patio-Door-with-15-Lite-GBG-G6068L002W3/203188687,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,DOORS - SLIDER - Clean Track,0.0,43.48,----,----,----,----,----,----,----,----,Each (Ea),Clean and grease sliding door track and adjust for proper functionality.,----,----,----,----,----,----,"WD-40 SPECIALIST 10 oz. White Lithium Grease, Long-Lasting Grease Spray",1004795364.0,1.0,each (each),8.48,0.0,----,https://www.homedepot.com/p/WD-40-SPECIALIST-10-oz-White-Lithium-Grease-Long-Lasting-Grease-Spray-30061/311360785,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,DOORS - SLIDER - Securtity/Charlie bar,0.0,46.78,----,0.0,0,----,----,----,----,----,Each (Ea),Install permanently mounted back sliding door security bar,----,----,----,----,----,----,"Prime-Line 28 in. to 48 in., Aluminum, White, Security Bar Lock",633365.0,1.0,each (each),19.5,0.0,----,https://www.homedepot.com/p/Prime-Line-28-in-to-48-in-Aluminum-White-Security-Bar-Lock-U-9921/100176808,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Exterior:,Back Screen Door Slider,0.0,109,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,36 in. x 80 in. Adjustable Fit White Premium Patio Sliding Screen Door,1005447860.0,1.0,piece (piece),105.0,0.0,----,https://www.homedepot.com/p/36-in-x-80-in-Adjustable-Fit-White-Premium-Patio-Sliding-Screen-Door-PSD36W/315879837,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Door Accessories & Hardware,DOORS - Door Bell - Wireless Install,0.0,47.97,----,0.0,0,----,----,----,----,----,Each (Ea),Remove existing door bell (if present - To include video doorbells) and install wireless doorbell.,----,----,----,----,----,----,"Hampton Bay Wireless Plug-In Doorbell Kit with Wireless Push Button, White",1003008627.0,1.0,each (each),27.97,0.0,----,https://www.homedepot.com/p/Hampton-Bay-Wireless-Plug-In-Doorbell-Kit-with-Wireless-Push-Button-White-HB-7731-03/304225375,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Door Accessories & Hardware,Install Door Stop,0.0,6.27,----,0.0,0,----,----,----,----,----,Each (Ea),Install mid-hight wall door stop (base or hinge if no other option).,----,----,----,----,----,----,"Prime-Line 3 1/4 in., Rigid Vinyl, White, Self Adhesive Wall Protector",316307.0,1.0,each (each),2.97,0.0,----,https://www.homedepot.com/p/Prime-Line-3-1-4-in-Rigid-Vinyl-White-Self-Adhesive-Wall-Protector-U-9243/100209221,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Door Accessories & Hardware,DOORS - Weatherstripping - Replace,0.0,26.22,----,0.0,0,----,----,----,----,----,Each (Ea),----,----,----,----,----,----,----,Cinch 36 in. White Vinyl U-Shape Cinch Slide-On Under Door Seal,1001028396.0,1.0,each (each),13.82,0.0,----,https://www.homedepot.com/p/Cinch-36-in-White-Vinyl-U-Shape-Cinch-Slide-On-Under-Door-Seal-43336/205573049,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Door Accessories & Hardware,Doors - Privacy Knobs,0.0,36.47,----,0.0,0,----,----,----,----,----,Each (Ea),"Install Privacy knobs, strike plate.",----,(null),----,----,----,----,Schlage Georgian Satin Nickel Privacy Bed/Bath Door Knob with Lock,779758.0,1.0,each (each),26.47,0.0,----,https://www.homedepot.com/p/Schlage-Georgian-Satin-Nickel-Privacy-Bed-Bath-Door-Knob-with-Lock-F40-GEO-619/100076011,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Door Accessories & Hardware,DOORS - Smart Lock Change Out,0.0,89.47,----,0.0,0,----,----,----,----,----,Each (Ea),Re-key with smart key door knob and dead bolt. (Per Door),----,----,----,----,----,----,Kwikset Juno Satin Nickel Exterior Entry Door Knob and Single Cylinder Deadbolt Combo Pack Featuring SmartKey Security,909843.0,1.0,each (each),56.97,0.0,----,https://www.homedepot.com/p/Kwikset-Juno-Satin-Nickel-Exterior-Entry-Door-Knob-and-Single-Cylinder-Deadbolt-Combo-Pack-Featuring-SmartKey-Security-991J-15-SMT-CP/100597328,----
Interior Overall:,Living Room,"Doors & Closets, Hardware, Accessories, etc...",Doors:,Door Accessories & Hardware,DOORS - Replace passage knob (Brushed Nickel),0.0,30.47,----,5.5,0,----,----,----,----,----,Each (Ea),"Replace passage knob sets and strike plates on interior doors. To include bedrooms, closets and basement doors",Cost Codes for Doors,(null),----,----,----,----,Schlage Georgian Satin Nickel Passage Hall/Closet Door Knob,779786.0,1.0,each (each),24.97,0.0,----,https://www.homedepot.com/p/Schlage-Georgian-Satin-Nickel-Passage-Hall-Closet-Door-Knob-F10-GEO-619/100028727,----
